zip,city,state_name,active
05343,Service Area,US,yes
05345,Service Area,US,yes
05346,Service Area,US,yes
05350,Service Area,US,yes
05352,Service Area,US,yes
05353,Service Area,US,yes
05354,Service Area,US,yes
05355,Service Area,US,yes
05356,Service Area,US,yes
05358,Service Area,US,yes
05359,Service Area,US,yes
05360,Service Area,US,yes
05361,Service Area,US,yes
05362,Service Area,US,yes
05363,Service Area,US,yes
05701,Service Area,US,yes
05730,Service Area,US,yes
05738,Service Area,US,yes
05739,Service Area,US,yes
05742,Service Area,US,yes
05751,Service Area,US,yes
05757,Service Area,US,yes
05758,Service Area,US,yes
05759,Service Area,US,yes
05761,Service Area,US,yes
05772,Service Area,US,yes
05773,Service Area,US,yes
05774,Service Area,US,yes
05775,Service Area,US,yes
05776,Service Area,US,yes
05777,Service Area,US,yes
06001,Service Area,US,yes
06002,Service Area,US,yes
06010,Service Area,US,yes
06013,Service Area,US,yes
06016,Service Area,US,yes
06018,Service Area,US,yes
06019,Service Area,US,yes
06020,Service Area,US,yes
06021,Service Area,US,yes
06022,Service Area,US,yes
06023,Service Area,US,yes
06024,Service Area,US,yes
06026,Service Area,US,yes
06027,Service Area,US,yes
06029,Service Area,US,yes
06031,Service Area,US,yes
06032,Service Area,US,yes
06033,Service Area,US,yes
06035,Service Area,US,yes
06037,Service Area,US,yes
06039,Service Area,US,yes
06040,Service Area,US,yes
06042,Service Area,US,yes
06043,Service Area,US,yes
06051,Service Area,US,yes
06052,Service Area,US,yes
06053,Service Area,US,yes
06057,Service Area,US,yes
06058,Service Area,US,yes
06059,Service Area,US,yes
06060,Service Area,US,yes
06061,Service Area,US,yes
06062,Service Area,US,yes
06063,Service Area,US,yes
06065,Service Area,US,yes
06066,Service Area,US,yes
06067,Service Area,US,yes
06068,Service Area,US,yes
06069,Service Area,US,yes
06070,Service Area,US,yes
06071,Service Area,US,yes
06073,Service Area,US,yes
06074,Service Area,US,yes
06076,Service Area,US,yes
06078,Service Area,US,yes
06081,Service Area,US,yes
06082,Service Area,US,yes
06084,Service Area,US,yes
06085,Service Area,US,yes
06088,Service Area,US,yes
06089,Service Area,US,yes
06090,Service Area,US,yes
06091,Service Area,US,yes
06092,Service Area,US,yes
06093,Service Area,US,yes
06095,Service Area,US,yes
06096,Service Area,US,yes
06098,Service Area,US,yes
06103,Service Area,US,yes
06105,Service Area,US,yes
06106,Service Area,US,yes
06107,Service Area,US,yes
06108,Service Area,US,yes
06109,Service Area,US,yes
06110,Service Area,US,yes
06111,Service Area,US,yes
06112,Service Area,US,yes
06114,Service Area,US,yes
06117,Service Area,US,yes
06118,Service Area,US,yes
06119,Service Area,US,yes
06120,Service Area,US,yes
